Name	Mana Cost	Type	Rules Text	Flavor Text	Power	Toughness	Loyalty	Name 2	Mana Cost 2	Type 2	Rules Text 2	Flavor Text 2	Power 2	Toughness 2	Loyalty 2	
The Vidalian	5	Legendary Enchantment — Landmark 	​				3	
Desert Warfare	3G	Enchantment	Whenever you sacrifice a Desert and whenever a Desert card is put into your graveyard from your hand or library, put that card onto the battlefield under your control at the beginning of your next end step.\n At the beginning of combat on your turn, if you control five or more Deserts, create that many 1/1 red, green, and white Sand Warrior creature tokens. They gain haste.					
Druid Class	1G	Enchantment — Class 	(Gain the next level as a sorcery to add its ability.)\n Landfall — Whenever a land you control enters, you gain 1 life.\n 2G: Level 2\n You may play an additional land on each of your turns.\n 4G: Level 3\n When this Class becomes level 3, target land you control becomes a creature with haste and “This creature’s power and toughness are each equal to the number of lands you control.” It’s still a land.					
Ghirapur Aether Grid	2R	Enchantment	Tap two untapped artifacts you control: This enchantment deals 1 damage to any target.					
Khalni Heart Expedition	1G	Enchantment	Landfall — Whenever a land you control enters, you may put a quest counter on this enchantment.\n Remove three quest counters from this enchantment and sacrifice it: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.					
Walk-In Closet	2G	Enchantment — Room 	You may play lands from your graveyard.					Forgotten Cellar	3GG		When you unlock this door, you may cast spells from your graveyard this turn, and if a card would be put into your graveyard from anywhere this turn, exile it instead.					
Bovine Intervention	1W	Instant	Destroy target artifact or creature. Its controller creates a 2/2 white Ox creature token.					
Harrow	2G	Instant	As an additional cost to cast this spell, sacrifice a land.\n Search your library for up to two basic land cards, put them onto the battlefield, then shuffle.					
Abraded Bluffs		Land — Desert 	This land enters tapped.\n When this land enters, it deals 1 damage to target opponent.\n T: Add R or W.					
Arid Archway		Land — Desert 	This land enters tapped.\n When this land enters, return a land you control to its owner’s hand. If another Desert was returned this way, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)\n T: Add CC.					
Bristling Backwoods		Land — Desert 	This land enters tapped.\n When this land enters, it deals 1 damage to target opponent.\n T: Add R or G.					
Cactus Preserve		Land — Desert 	This land enters tapped.\n T: Add one mana of any type that a land you control could produce.\n 3: Until end of turn, this land becomes an X/X green Plant creature with reach, where X is the greatest mana value among your commanders. It’s still a land.					
Command Tower		Land	T: Add one mana of any color in your commander’s color identity.					
Cradle of the Accursed		Land — Desert 	T: Add C.\n 3, T, Sacrifice this land: Create a 2/2 black Zombie creature token. Activate only as a sorcery.					
Creosote Heath		Land — Desert 	This land enters tapped.\n When this land enters, it deals 1 damage to target opponent.\n T: Add G or W.					
Desert of the Fervent		Land — Desert 	This land enters tapped.\n T: Add R.\n Cycling 1R (1R, Discard this card: Draw a card.)					
Desert of the Indomitable		Land — Desert 	This land enters tapped.\n T: Add G.\n Cycling 1G (1G, Discard this card: Draw a card.)					
Desert of the True		Land — Desert 	This land enters tapped.\n T: Add W.\n Cycling 1W (1W, Discard this card: Draw a card.)					
Dunes of the Dead		Land — Desert 	T: Add C.\n When this land is put into a graveyard from the battlefield, create a 2/2 black Zombie creature token.					
Endless Sands		Land — Desert 	T: Add C.\n 2, T: Exile target creature you control.\n 4, T, Sacrifice this land: Return each creature card exiled with this land to the battlefield under its owner’s control.					
Forest		Basic Land — Forest 						
Grasping Dunes		Land — Desert 	T: Add C.\n 1, T, Sacrifice this land: Put a -1/-1 counter on target creature. Activate only as a sorcery.					
Hashep Oasis		Land — Desert 	T: Add C.\n T, Pay 1 life: Add G.\n 1GG, T, Sacrifice a Desert: Target creature gets +3/+3 until end of turn. Activate only as a sorcery.					
Lazotep Quarry		Land — Desert 	T: Add C.\n T, Sacrifice a creature: Add one mana of any color.\n X2, T, Sacrifice a Desert: Exile target creature card with mana value X from your graveyard. Create a token that’s a copy of it, except it’s a 4/4 black Zombie. Activate only as a sorcery.					
Mirage Mesa		Land — Desert 	This land enters tapped. As it enters, choose a color.\n T: Add one mana of the chosen color.					
Myriad Landscape		Land	This land enters tapped.\n T: Add C.\n 2, T, Sacrifice this land: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle.					
Painted Bluffs		Land — Desert 	T: Add C.\n 1, T: Add one mana of any color.					
Ramunap Ruins		Land — Desert 	T: Add C.\n T, Pay 1 life: Add R.\n 2RR, T, Sacrifice a Desert: This land deals 2 damage to each opponent.					
Reliquary Tower		Land	You have no maximum hand size.\n T: Add C.					
Sandstorm Verge		Land — Desert 	T: Add C.\n 3, T: Target creature can’t block this turn. Activate only as a sorcery.					
Scavenger Grounds		Land — Desert 	T: Add C.\n 2, T, Sacrifice a Desert: Exile all graveyards.					
Shefet Dunes		Land — Desert 	T: Add C.\n T, Pay 1 life: Add W.\n 2WW, T, Sacrifice a Desert: Creatures you control get +1/+1 until end of turn. Activate only as a sorcery.					
Sunscorched Desert		Land — Desert 	When this land enters, it deals 1 damage to target player or planeswalker.\n T: Add C.					
Survivors' Encampment		Land — Desert 	T: Add C.\n T, Tap an untapped creature you control: Add one mana of any color.					
Island		Basic Land — Island 						
Plains		Basic Land — Plains 						
Swamp		Basic Land — Swamp 						
Mountain		Basic Land — Mountain 						
Mountain		Basic Land — Mountain 						
Mountain		Basic Land — Mountain 						
Mountain		Basic Land — Mountain 						
Plains		Basic Land — Plains 						
Plains		Basic Land — Plains 						
Plains		Basic Land — Plains 						
Island		Basic Land — Island 						
Island		Basic Land — Island 						
Island		Basic Land — Island 						
Swamp		Basic Land — Swamp 						
Swamp		Basic Land — Swamp 						
Swamp		Basic Land — Swamp 						
Forest		Basic Land — Forest 						
Forest		Basic Land — Forest 						
Forest		Basic Land — Forest 						
Broken Bond	1G	Sorcery	Destroy target artifact or enchantment. You may put a land card from your hand onto the battlefield.					
Cataclysmic Prospecting	XRR	Sorcery	This spell deals X damage to each creature. For each mana from a Desert spent to cast this spell, create a tapped Treasure token.					
Explore	1G	Sorcery	You may play an additional land this turn.\n Draw a card.					
Explosive Vegetation	3G	Sorcery	Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.					
Hour of Promise	1G	Sorcery	Search your library for up to two land cards, put them onto the battlefield tapped, then shuffle. Then if you control three or more Deserts, create two 2/2 black Zombie creature tokens.					
Map the Frontier	3G	Sorcery	Search your library for up to two basic land cards and/or Desert cards, put them onto the battlefield tapped, then shuffle.					
Nahiri's Lithoforming	XRR	Sorcery	Sacrifice X lands. For each land sacrificed this way, draw a card. You may play X additional lands this turn. Lands you control enter tapped this turn.					
Splendid Reclamation	3G	Sorcery	Return all land cards from your graveyard to the battlefield tapped.					
Sylvan Scrying	1G	Sorcery	Search your library for a land card, reveal it, put it into your hand, then shuffle.					
Vandalblast	R	Sorcery	Destroy target artifact you don’t control.\n Overload 4R (You may cast this spell for its overload cost. If you do, change “target” in its text to “each.”)					
Worldsoul's Rage	XRG	Sorcery	Worldsoul’s Rage deals X damage to any target. Put up to X land cards from your hand and/or graveyard onto the battlefield tapped.					
Cyclonic Rift	1U	Instant	Return target nonland permanent you don’t control to its owner’s hand.\n Overload 6U (You may cast this spell for its overload cost. If you do, change “target” in its text to “each.”)					
Cursed Mirror	2R	Artifact	T: Add R.\n As this artifact enters, you may have it become a copy of any creature on the battlefield until end of turn, except it has haste.					
Izzet Signet	2	Artifact	1, T: Add UR.					
Talisman of Conviction	2	Artifact	T: Add C.\n T: Add R or W. This artifact deals 1 damage to you.					
Talisman of Progress	2	Artifact	T: Add C.\n T: Add W or U. This artifact deals 1 damage to you.					
Unstable Amulet	1R	Artifact	When this artifact enters, you get  EE.\n Whenever you cast a spell from anywhere other than your hand, this artifact deals 1 damage to each opponent.\n T, Pay EE: Exile the top card of your library. You may play it until you exile another card with this artifact.					
